dataset,schema_id,num_productions,num_nonterminals,num_terminals,max_rhs_nt,nonlinear_productions,is_linear,has_recursion,has_array,has_nested_object,schema_size,error
train,train_0,41,34,15,2,3,False,True,True,False,1720,
train,train_1,16,14,14,2,4,False,False,True,False,569,
train,train_2,17,15,13,2,4,False,False,False,True,648,
train,train_3,30,26,20,2,7,False,False,False,True,2408,
train,train_4,17,16,14,2,4,False,False,False,True,3526,
train,train_5,17,14,10,2,2,False,False,False,False,1246,
train,train_6,25,23,18,2,6,False,False,True,False,150155,
train,train_7,4,4,5,1,0,True,False,False,False,183,
train,train_8,6,6,6,2,1,False,False,False,True,8509,
train,train_9,12,12,11,2,3,False,False,False,True,553,
train,train_10,2,2,1,1,0,True,False,False,False,245,
train,train_11,16,14,14,2,4,False,False,True,False,477,
train,train_12,16,12,12,2,4,False,False,False,False,599,
train,train_13,12,12,11,2,3,False,False,False,True,1192,
train,train_14,12,12,10,2,4,False,False,False,False,514,
train,train_15,9,6,4,2,1,False,False,True,False,285,
train,train_16,107,74,58,2,34,False,False,True,False,2379,
train,train_17,38,26,27,2,8,False,False,False,True,1291,
train,train_18,63,52,29,2,16,False,False,False,False,2710,
train,train_19,95,70,51,2,28,False,False,True,True,4080,
train,train_20,16,16,13,2,5,False,False,False,True,679,
train,train_21,20,18,15,2,5,False,False,True,True,644,
train,train_22,105,82,51,2,32,False,False,True,True,7459,
train,train_23,641,374,235,2,145,False,False,True,True,18976,
train,train_24,56,48,28,2,14,False,False,False,True,1524,
train,train_25,23,21,14,2,5,False,False,False,False,2794,
train,train_26,44,34,20,2,12,False,False,True,False,855,
train,train_27,12,10,9,2,1,False,False,False,False,553,
train,train_28,248,76,211,2,36,False,False,False,True,3150,
train,train_29,90,73,35,2,25,False,False,True,True,2923,
train,train_30,19,6,9,2,1,False,False,True,False,336,
train,train_31,22,18,11,2,3,False,False,False,False,735,
train,train_32,9592,7643,2004,2,3244,False,True,False,False,543857,
train,train_33,12,12,11,2,4,False,False,False,False,992,
train,train_34,26,26,18,2,9,False,False,False,True,1253,
train,train_35,17,14,9,2,2,False,False,False,False,897,
train,train_36,7,6,6,1,0,True,False,False,False,321,
train,train_37,25,23,18,2,6,False,False,True,False,21926,
train,train_38,55,52,34,2,22,False,False,False,True,4402,
train,train_39,18,16,15,2,5,False,False,True,False,594,
train,train_40,42,35,19,2,10,False,False,False,False,2113,
train,train_41,52,44,26,2,15,False,False,True,True,1652,
train,train_42,125,114,50,2,40,False,False,True,True,4263,
train,train_43,310,176,182,2,82,False,False,True,True,15094,
train,train_44,143,119,49,2,46,False,False,False,False,18020,
train,train_45,211,154,130,2,75,False,False,False,False,4663,
train,train_46,20,16,14,2,6,False,False,False,False,976,
train,train_47,66,53,20,2,11,False,True,False,False,4922,
train,train_48,14,14,12,2,4,False,False,False,True,574,
train,train_49,18,16,15,2,5,False,False,False,True,727,
train,train_50,18,14,11,2,2,False,False,True,False,277,
train,train_51,16,14,14,2,5,False,False,False,False,560,
train,train_52,63,44,39,2,19,False,False,False,False,3735,
train,train_53,262,229,81,2,90,False,False,True,True,11242,
train,train_54,11,8,9,2,2,False,False,False,False,620,
train,train_55,41,38,27,2,15,False,False,False,True,1651,
train,train_56,51,41,22,2,12,False,False,True,False,2852,
train,train_57,84,70,41,2,27,False,False,False,True,4146,
train,train_58,26,24,18,2,9,False,False,True,False,1541,
train,train_59,33,28,26,2,12,False,False,False,False,887,
train,train_60,260,215,92,2,77,False,False,True,True,17558,
train,train_61,99,85,40,2,33,False,False,True,False,29522,
train,train_62,22,21,19,2,6,False,False,True,False,24546,
train,train_63,4,4,5,1,0,True,False,False,False,256,
train,train_64,16,16,13,2,5,False,False,False,True,640,
train,train_65,16,14,13,2,4,False,False,True,False,567,
train,train_66,16,14,14,2,5,False,False,False,False,1019,
train,train_67,12,12,11,2,3,False,False,False,True,475,
train,train_68,58,46,38,2,20,False,False,True,True,1606,
train,train_69,39,37,20,2,12,False,False,False,False,2456,
train,train_70,63,60,37,2,28,False,False,False,False,1191,
train,train_71,450,292,219,2,129,False,False,True,True,19975,
train,train_72,78,70,32,2,23,False,False,False,False,10449,
train,train_73,308,226,193,2,111,False,False,False,True,5433,
train,train_74,15,14,13,2,4,False,False,False,False,1465,
train,train_75,13,10,13,2,3,False,False,True,False,586,
train,train_76,35,30,27,2,12,False,False,True,True,1953,
train,train_77,14,14,9,2,3,False,False,False,True,616,
train,train_78,47,42,21,2,11,False,False,False,False,5471,
train,train_79,11,9,9,2,1,False,False,False,False,279,
train,train_80,42,38,23,2,12,False,False,True,True,884,
train,train_81,4,4,5,1,0,True,False,False,False,472,
train,train_82,26,23,16,2,5,False,False,True,False,12385,
train,train_83,108,94,42,2,36,False,False,True,False,17006,
train,train_84,83,66,26,2,16,False,False,False,False,1308,
train,train_85,39,33,18,2,10,False,False,True,False,953,
train,train_86,12,10,8,2,1,False,False,False,False,293,
train,train_87,31,30,23,2,11,False,False,False,True,1573,
train,train_88,296,201,92,2,91,False,False,True,True,34293,
train,train_89,405,255,204,2,113,False,False,True,True,17736,
train,train_90,24,16,23,2,6,False,False,False,False,799,
train,train_91,89,74,56,2,22,False,False,True,True,2524,
train,train_92,55,42,32,2,19,False,False,False,False,1646,
train,train_93,16,16,13,2,5,False,False,False,True,622,
train,train_94,42,36,19,2,13,False,False,False,False,4049,
train,train_95,1234,1043,278,2,401,False,False,False,False,146271,
train,train_96,13,12,13,2,4,False,False,False,False,846,
train,train_97,14,12,11,2,4,False,False,True,False,503,
train,train_98,14,14,12,2,4,False,False,False,True,624,
train,train_99,8,8,9,2,2,False,False,False,False,154,
train,train_100,14,13,13,2,2,False,False,False,False,744,
train,train_101,24,18,12,2,3,False,False,False,False,1043,
train,train_102,24,24,15,2,6,False,False,False,False,1474,
train,train_103,57,54,30,2,15,False,False,False,True,2901,
train,train_104,13,10,12,2,3,False,False,True,False,685,
train,train_105,16,14,13,2,4,False,False,True,True,495,
train,train_106,626,388,46,2,87,False,False,True,False,28136,
train,train_107,451,295,224,2,146,False,False,True,True,23834,
train,train_108,2,2,2,1,0,True,False,False,False,420,
train,train_109,24,22,18,2,5,False,False,False,True,694,
train,train_110,4,4,4,1,0,True,False,False,True,547,
train,train_111,38,28,24,2,8,False,False,True,True,1124,
train,train_112,90,38,80,2,15,False,False,True,True,2828,
train,train_113,5,5,5,1,0,True,False,False,False,292,
train,train_114,14,14,12,2,4,False,False,False,True,568,
train,train_115,87,68,51,2,24,False,False,True,True,2141,
train,train_116,32,28,25,2,12,False,False,False,False,2140,
train,train_117,39,38,25,2,15,False,False,True,True,3106,
train,train_118,14,8,16,2,2,False,False,False,False,433,
train,train_119,62,57,30,2,23,False,True,False,False,5795,
train,train_120,30,26,20,2,10,False,False,False,False,727,
train,train_121,14,14,12,2,4,False,False,False,True,632,
train,train_122,155,134,55,2,52,False,False,False,False,19828,
train,train_123,10,8,9,2,2,False,False,True,False,231,
train,train_124,4,4,5,1,0,True,False,False,False,368,
train,train_125,36,30,21,2,10,False,False,True,True,1618,
train,train_126,22,18,19,2,7,False,False,False,False,1036,
train,train_127,7,7,6,1,0,True,False,False,False,263,
train,train_128,54,43,32,2,14,False,False,True,False,1605,
train,train_129,43,34,25,2,10,False,False,True,False,1151,
train,train_130,16,8,17,2,2,False,False,False,False,703,
train,train_131,16,14,11,2,2,False,False,False,False,1470,
train,train_132,25,25,20,2,7,False,False,False,False,1018,
train,train_133,16,16,13,2,5,False,False,False,True,628,
train,train_134,391,326,121,2,146,False,False,True,True,20639,
train,train_135,114,102,46,2,36,False,False,True,True,3028,
train,train_136,14,14,11,2,5,False,False,False,True,10028,
train,train_137,341,279,140,2,118,False,False,True,True,16561,
train,train_138,7,6,6,1,0,True,False,False,False,321,
train,train_139,4,4,5,1,0,True,False,False,False,471,
train,train_140,8,8,8,2,2,False,False,False,False,431,
train,train_141,58,50,33,2,20,False,False,False,True,4263,
train,train_142,26,25,15,2,5,False,False,False,False,5219,
train,train_143,5,5,7,2,1,False,False,False,False,679,
train,train_144,20,18,18,2,4,False,False,False,True,554,
train,train_145,12,10,10,2,1,False,False,True,False,1096,
train,train_146,74,63,29,2,18,False,False,True,False,11377,
train,train_147,293,242,50,2,105,False,False,True,True,19842,
train,train_148,10,10,9,2,3,False,False,False,False,421,
train,train_149,17,14,13,2,3,False,False,False,True,600,
train,train_150,20,18,14,2,7,False,False,True,True,737,
train,train_151,16,14,12,2,5,False,False,True,False,513,
train,train_152,49,38,23,2,13,False,False,True,False,925,
train,train_153,2,2,1,1,0,True,False,False,False,156,
train,train_154,41,34,16,2,7,False,False,True,False,870,
train,train_155,14,14,9,2,3,False,False,False,True,618,
train,train_156,10,10,9,2,3,False,False,False,True,9055,
train,train_157,39,30,25,2,12,False,False,True,False,2043,
train,train_158,6,6,7,2,1,False,False,False,False,343,
train,train_159,18,16,15,2,5,False,False,False,True,671,
train,train_160,42,34,20,2,14,False,False,True,False,851,
train,train_161,13,13,11,2,4,False,False,False,True,694,
train,train_162,28,26,18,2,11,False,False,True,True,596,
train,train_163,112,94,67,2,40,False,False,True,True,3283,
train,train_164,14,12,12,2,3,False,False,True,False,434,
train,train_165,7,7,6,1,0,True,False,False,False,860,
train,train_166,132,104,23,2,30,False,False,True,True,3914,
train,train_167,165,129,44,2,43,False,False,True,True,2868,
train,train_168,16,14,14,2,4,False,False,True,False,534,
train,train_169,11,7,4,2,2,False,True,True,False,669,
train,train_170,20,16,12,2,5,False,False,True,False,464,
train,train_171,2,2,2,1,0,True,False,False,False,1033,
train,train_172,22,20,16,2,7,False,False,True,False,655,
train,train_173,75,60,44,2,26,False,False,True,True,1861,
train,train_174,226,194,88,2,85,False,False,True,True,8781,
train,train_175,15,13,11,2,2,False,False,False,False,398,
train,train_176,4,4,5,1,0,True,False,False,False,11321,
train,train_177,19,14,17,2,4,False,False,False,False,423,
train,train_178,2,2,2,1,0,True,False,False,False,946,
train,train_179,26,22,12,2,5,False,False,False,False,1399,
train,train_180,22,20,16,2,8,False,False,True,False,423,
train,train_181,18,16,14,2,4,False,False,True,True,645,
train,train_182,54,54,31,2,25,False,False,False,False,2551,
train,train_183,13,2,12,1,0,True,False,False,False,391,
train,train_184,18,16,15,2,5,False,False,False,True,794,
train,train_185,14,14,9,2,3,False,False,False,True,550,
train,train_186,8,8,8,2,2,False,False,False,True,611,
train,train_187,15,12,15,2,4,False,False,True,False,951,
train,train_188,14,14,13,2,5,False,False,False,False,458,
train,train_189,14,14,11,2,5,False,False,False,False,444,
train,train_190,102,80,28,2,29,False,False,True,False,2083,
train,train_191,16,16,13,2,5,False,False,False,True,636,
train,train_192,96,88,42,2,26,False,False,True,False,13930,
train,train_193,16,12,10,2,4,False,False,True,False,623,
train,train_194,8,8,6,1,0,True,False,False,False,414,
train,train_195,24,16,17,2,6,False,False,True,False,563,
train,train_196,430,379,121,2,143,False,False,False,False,44948,
train,train_197,18,16,15,2,5,False,False,False,True,634,
train,train_198,95,32,86,2,13,False,False,False,True,2913,
train,train_199,14,10,14,2,3,False,False,False,False,419,
train,train_200,119,96,35,2,25,False,False,False,False,4631,
train,train_201,56,46,25,2,20,False,False,True,False,2809,
train,train_202,2,2,2,1,0,True,False,False,False,924,
train,train_203,18,16,15,2,5,False,False,False,True,582,
train,train_204,10,10,8,2,2,False,True,False,False,652,
train,train_205,18,16,15,2,5,False,False,True,False,610,
train,train_206,21,20,12,2,6,False,False,False,False,360,
train,train_207,45,36,25,2,16,False,False,False,False,2284,
train,train_208,13,12,12,2,4,False,False,False,False,455,
train,train_209,28,23,14,2,4,False,False,False,False,1902,
train,train_210,14,12,11,2,3,False,False,True,True,475,
train,train_211,63,48,28,2,15,False,False,True,True,2044,
train,train_212,160,134,66,2,57,False,False,True,True,3504,
train,train_213,315,166,175,2,57,False,False,True,True,8949,
train,train_214,67,58,35,2,23,False,False,True,True,1407,
train,train_215,7,6,9,2,1,False,False,False,False,190,
train,train_216,17,16,15,2,6,False,False,False,False,871,
train,train_217,2,2,2,1,0,True,False,False,False,92,
train,train_218,11,10,11,2,3,False,False,False,False,416,
train,train_219,17,14,12,2,2,False,False,True,False,2332,
train,train_220,11,10,12,2,2,False,False,False,True,801,
train,train_221,18,16,15,2,5,False,False,True,False,586,
train,train_222,100,84,47,2,29,False,False,True,True,2560,
train,train_223,86,72,44,2,24,False,False,True,True,2962,
train,train_224,28,22,15,2,9,False,False,True,False,454,
train,train_225,12,10,10,2,1,False,False,True,False,641,
train,train_226,325,172,175,2,67,False,False,True,True,10367,
train,train_227,27,18,24,2,7,False,False,False,False,617,
train,train_228,43,41,27,2,17,False,False,True,False,1813,
train,train_229,81,70,73,2,49,False,False,False,True,6027,
train,train_230,6,6,7,2,1,False,False,False,False,118,
train,train_231,8,8,7,2,1,False,False,False,True,365,
train,train_232,90,76,46,2,26,False,False,True,True,2350,
train,train_233,22,22,17,2,8,False,False,False,True,1489,
train,train_234,17,14,11,2,2,False,False,True,False,899,
train,train_235,16,14,12,2,5,False,False,True,False,686,
train,train_236,7,7,7,2,1,False,False,False,False,239,
train,train_237,72,58,38,2,20,False,False,True,True,1889,
train,train_238,101,82,45,2,37,False,False,True,False,3201,
train,train_239,10,10,10,2,3,False,False,False,False,465,
train,train_240,42,34,16,2,7,False,False,True,False,3382,
train,train_241,27,27,17,2,7,False,False,False,False,3979,
train,train_242,2276,1433,305,2,445,False,True,False,True,78215,
train,train_243,52,52,20,2,19,False,False,False,False,1583,
train,train_244,105,84,42,2,34,False,False,True,True,4437,
train,train_245,113,30,99,2,13,False,False,False,True,1977,
train,train_246,82,68,27,2,23,False,False,True,True,2793,
train,train_247,3,3,2,1,0,True,False,False,False,2412,
train,train_248,556,467,119,2,224,False,False,True,False,26422,
train,train_249,336,271,97,2,103,False,False,True,True,23245,
train,train_250,37,30,13,2,6,False,False,False,False,1418,
train,train_251,144,136,72,2,58,False,False,False,True,5308,
train,train_252,14,14,12,2,5,False,False,False,True,1022,
train,train_253,34,14,33,2,5,False,False,False,True,681,
train,train_254,12,10,8,2,1,False,False,False,False,594,
train,train_255,77,70,24,2,19,False,True,False,False,1870,
train,train_256,10,10,9,2,3,False,False,False,False,478,
train,train_257,14,12,12,2,3,False,False,True,False,449,
train,train_258,50,30,39,2,10,False,False,False,True,1313,
train,train_259,12,12,11,2,4,False,False,False,False,298,
train,train_260,12,12,11,2,3,False,False,False,True,472,
train,train_261,25,16,23,2,6,False,False,False,False,1058,
train,train_262,105,58,65,2,27,False,False,True,False,2764,
train,train_263,12,10,11,2,3,False,False,True,False,254,
train,train_264,9,9,9,2,1,False,False,False,False,514,
train,train_265,29,25,20,2,8,False,False,False,False,2159,
train,train_266,12,12,10,2,3,False,False,False,True,517,
train,train_267,875,787,224,2,365,False,False,False,False,64329,
train,train_268,26,24,18,2,9,False,False,True,True,1300,
train,train_269,222,170,49,2,52,False,False,True,True,4058,
train,train_270,852,762,225,2,334,False,False,True,False,62111,
train,train_271,4,4,5,1,0,True,False,False,False,494,
train,train_272,16,14,14,2,4,False,False,True,False,528,
train,train_273,16,12,12,2,4,False,False,False,False,548,
train,train_274,33,28,24,2,12,False,False,False,False,2119,
train,train_275,17,14,15,2,5,False,False,True,False,320,
train,train_276,20,18,14,2,7,False,False,True,False,436,
train,train_277,16,14,12,2,4,False,False,True,True,556,
train,train_278,25,22,17,2,7,False,False,True,False,692,
train,train_279,36,34,22,2,10,False,False,False,True,1223,
train,train_280,17,12,15,2,4,False,False,True,False,630,
train,train_281,22,21,19,2,6,False,False,True,False,20939,
train,train_282,16,14,14,2,4,False,False,True,False,549,
train,train_283,8,6,8,2,1,False,False,False,False,704,
train,train_284,14,14,12,2,4,False,False,False,True,595,
train,train_285,10,10,9,2,3,False,False,False,False,477,
train,train_286,20,18,17,2,7,False,False,False,False,1480,
train,train_287,15,12,14,2,4,False,False,False,False,777,
train,train_288,14,14,12,2,4,False,False,False,True,573,
train,train_289,34,22,17,2,7,False,False,True,False,910,
train,train_290,33,27,13,2,5,False,False,False,False,2526,
train,train_291,16,16,12,2,6,False,False,False,False,651,
train,train_292,54,45,27,2,10,False,False,True,True,1500,
train,train_293,9,8,8,2,1,False,False,False,True,536,
train,train_294,30,30,20,2,13,False,False,False,False,803,
train,train_295,4,4,5,1,0,True,False,False,False,105,
train,train_296,83,62,38,2,21,False,False,True,True,3060,
train,train_297,23,21,14,2,5,False,False,False,False,2794,
train,train_298,16,14,14,2,4,False,False,True,False,564,
train,train_299,22,18,16,2,6,False,False,True,False,933,
train,train_300,18,16,15,2,5,False,False,True,False,626,
train,train_301,74,62,39,2,26,False,False,False,True,4850,
train,train_302,21,18,19,2,7,False,False,False,False,588,
train,train_303,220,206,106,2,97,False,False,True,True,6015,
train,train_304,33,29,21,2,10,False,False,False,False,2379,
train,train_305,110,25,97,2,8,False,False,True,False,2649,
train,train_306,25,21,11,2,4,False,False,False,False,1329,
train,train_307,157,123,64,2,41,False,False,True,True,3199,
train,train_308,102,76,51,2,36,False,False,False,False,2492,
train,train_309,36,34,22,2,13,False,False,True,True,706,
train,train_310,6,6,7,2,1,False,False,False,False,248,
train,train_311,229,186,51,2,82,False,False,True,True,15128,
train,train_312,23,18,13,2,3,False,False,False,False,1564,
train,train_313,12,12,10,2,4,False,False,False,False,358,
train,train_314,35,26,15,2,5,False,False,False,True,1171,
train,train_315,18,16,15,2,5,False,False,False,True,661,
train,train_316,25,21,11,2,4,False,False,False,False,1263,
train,train_317,187,145,40,2,41,False,False,True,True,3631,
train,train_318,1594,691,973,2,303,False,False,True,True,76733,
train,train_319,24,24,15,2,10,False,False,False,True,7181,
train,train_320,25,21,11,2,4,False,False,False,False,1168,
train,train_321,14,14,11,2,5,False,False,False,True,11804,
train,train_322,212,184,82,2,80,False,True,False,False,10554,
train,train_323,8,8,8,2,2,False,False,False,False,585,
train,train_324,6,6,8,2,1,False,False,False,False,246,
train,train_325,19,12,20,2,4,False,False,False,False,587,
train,train_326,13,10,10,2,2,False,False,True,False,3451,
train,train_327,10,10,10,2,3,False,False,False,False,381,
train,train_328,702,442,61,2,107,False,False,True,False,34968,
